782140661,Chip Dawes
782140661,Biju Thomas
782140661,Doug Stuns
782140661,Matthew Weishan
782140661,Joseph C. Johnson
72227885,Brian Knight
471200247,Ralph Kimball
471200247,Margy Ross
72227710,Bill Mann
1558605525,Ian H. Witten
1558605525,Eibe Frank
972263608,Robert D. Schmidt
201615762,Ken Henderson
782140114,Paul Litwin
782140114,Ken Getz
782140114,Mike Gunderloy
321125169,Ben Forta
321125169,Nate Weiss
321125169,Leon Chalnick
321125169,Angela C. Buraglia
805317554,Ramez A. Elmasri
805317554,Shamkant B. Navathe
1861004486,Rob Vieira
735712123,Paul DuBois
425188361,Laurell K. Hamilton 
142001740,Sue Monk Kidd
596004478,Tara Calishain
596004478,Rael Dornfest
71414339,Jay P. Decima 
312311354,Wladyslaw Szpilman
312287941,Roma Ligocka
312243022,Michael Cunningham
609610570,Larry Bossidy
609610570,Ram Charan
609610570,Charles Burck
316602051,James Patterson
316602051,Andrew Gross
743222008,Jeffery Deaver
66214750,Jacquelyn Mitchard
787960756,Patrick Lencioni
743206061,Mary Higgins Clark
1590520734,Dee Henderson
60934417,Ann Patchett
440237556,Karen Marie Moning
373272839,Suzanne Brockmann
670031518,Steven Pinker
738206679,Albert-L_szl¢ Barab_si 
067976867X,Edward Osborne Wilson 
679450785,Edward Osborne Wilson 
1579550088,Stephen Wolfram 
684843285,Harold McGee
471358983,Francis D. K. Ching
471358983,Cassandra Adams
394739698,Virginia McAlester
394739698,Lee McAlester
1586851322,Bryan Burkhart
1586851322,Allison Arieff
1586851357,Ralph R. Kylloe 
156158648X,Leslie Plummer Clagett 
865659982,Gerard Gefen
865659982,Christine Bastin
865659982,Jacques Evrard
517576600,Donald Kaufman
517576600,Taffy Dahl
517576600,Laurel Graeber
517576600,Tina Freeman 
262024829,"Simon Benninga, Benjamin Czaczkes "
72294337,Mark Grinblatt
72294337,Sheridan Titman
72315318,Robert C. Higgins 
324107501,Paul Marcus Fischer
324107501,William James Taylor
324107501,Rita Hartung Cheng
471363049,Donald E. Kieso
471363049,Jerry J. Weygandt
471363049,Terry D. Warfield
130323519,Lawrence Revsine
130323519,Daniel W. Collins
130323519,W. Bruce Johnson
446527793,Nicholas Sparks 
743206061,Mary Higgins Clark 
743244249,Don DeLillo
743467523,Stephen King
375703764,Mark Z. Danielewski 
345452089,Michael Romkey 
385504470,Chuck Palahniuk 
312276702,Matthew Delaney
743457358,Stephen King
1880418568,Stephen King
1880418568,Bernie Wrightson
743455967,Stephen King 
140077022,Don DeLillo
679722955,Don DeLillo 
684848155,Don DeLillo 
471286168,Francis D. K. Ching
471288217,Francis D. K. Ching
156006219,Ann Patchett 
60540753,Ann Patchett 
393318486,Steven Pinker 
60958332,Steven Pinker 
60958405,Steven Pinker 
393319407,Edward Osborne Wilson 
067463442X,Edward Osborne Wilson 
446608955,Nicholas Sparks 
446676098,Nicholas Sparks 
446606812,Nicholas Sparks 
262521415,Simon Benninga 
262232197,Jeffrey M. Wooldridge 
324113641,Jeffrey M. Wooldridge 
471391123,Steven J. Root 
130998516,Ken Coffman 
1565924916,Gerald Carter 
735712360,Scott Kelby 
735712379,Scott Kelby 
735713170,Scott Kelby 
1558606432,B. J. Fogg 
72222743,Michael Meyers 
345409469,Carl Sagan 
375508325,Carl Sagan 
345336895,Carl Sagan 
671004107,Carl Sagan 
345376595,Carl Sagan 
316666343,Alice Sebold 
316096199,Alice Sebold
038572179X,Ian McEwan 
385494246,Ian McEwan 
385494327,Ian McEwan 
385494149,Ian McEwan 
399149848,Nora Roberts 
373218192,Nora Roberts 
373218257,Nora Roberts 
399149392,Nora Roberts 
1561584029,Andy Rae 
1579902944,Andy Rae 
1561586196,Joseph Truini 
61092177,Terry Pratchett
60502935,Terry Pratchett
61020656,Terry Pratchett
60855925,Terry Pratchett
61020648,Terry Pratchett
61161721,Terry Pratchett
